video_id,comment
qlZM3McwO1Q,"At this rate, the Kenyans should only compete with Ethiopians, black americans and jamaicans! The rest should find their own junior league!!!😂"
qlZM3McwO1Q,"As a Kenyan i always get tears of joy when I see our athletics flying our flag higher.  #Salut to our athletics ,n #proud kenyan"
qlZM3McwO1Q,Extremeeeeee 🎉❤❤❤
qlZM3McwO1Q,Unfair reports regarding the Kenyan won world record.
qlZM3McwO1Q,The ending of this video is just pathetic.
qlZM3McwO1Q,This was the birth of athletics champions and world record breakers
qlZM3McwO1Q,Kenyaaa🎉🎉🎉🎉🎉🎉
qlZM3McwO1Q,Hako kakutaptap mapaja nachukulia watoi kurukaruka i thought ndiko kataenda nayo Kenya 🇰🇪
qlZM3McwO1Q,I feel proud when am watching you ladies from Kenya 🎉🎉🎉🎉
qlZM3McwO1Q,"Wow, excellent fellew Kenyans.. Go Kenya,go, go ,go ."
qlZM3McwO1Q,"Welcome to Kenya, the land of great feet and determination! I am proud of those Kenyan sisters out there to show the world that Kenyans are great runners!"
qlZM3McwO1Q,Never seen someone being lapped in this race.
qlZM3McwO1Q,素晴らしいレースを見せてくれたケニアの選手たち！優勝を称える表彰台の映像が無いのは不自然です。ケニアの選手おめでとう🌹
qlZM3McwO1Q,"If Kenyans were not in the race, Americans would have cheated everyone into thinking they are the fastest humans on earth."
qlZM3McwO1Q,"🇰🇪from Thailand, with love."
qlZM3McwO1Q,Home is best
qlZM3McwO1Q,🇲🇲 The charge of the house brigade 🇲🇲 Myanmar -ဖြစ်ပါတယ်-ယခုအပြေးမယ်က(you)မဟုတ်ပါ(အတုမ-လူလိမ်မ)ဖြစ်ပါတယ်-သတ္တိရှိရင်ပညာခြင်းပြိုင်ပါမယ်
qlZM3McwO1Q,🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪
qlZM3McwO1Q,Eish Obiri this is extraordinary our gir l❤
qlZM3McwO1Q,You have done the country proud❤❤❤
qlZM3McwO1Q,"Absolute amazement!

Tenacity, energy, tactfullness....
Raw talent well curated and served fresh.
From 🇰🇪 with immense love to the world 🌎"
qlZM3McwO1Q,Kenya My Country 🥰
qlZM3McwO1Q,Congratulations to the Kenyans❤
qlZM3McwO1Q,Congrats to my country girls.
qlZM3McwO1Q,Congs our sis Alex from Uganda
qlZM3McwO1Q,Kenyans closest competitor is the world record.
qlZM3McwO1Q,Way to go Kenyans!!!!🇰🇪🇰🇪🇰🇪
qlZM3McwO1Q,Proud Kenyan 🥹
qlZM3McwO1Q,Hapo swafie... Kenyan like my comment❤
qlZM3McwO1Q,those romanians are really tall but they have weirdly short legs..
qlZM3McwO1Q,"w Omen's world record is NOT the world record, is it? FYF"
qlZM3McwO1Q,I’m faster
qlZM3McwO1Q,I love how the Kenyans dominate in Track and Field events. 💯 Absolutely stunning performance!!! Go Kenya goooooo❤❤❤❤
qlZM3McwO1Q,What an amazing site to see the beautiful Kenyan women on the track! well done!
qlZM3McwO1Q,Congrats Kenyans all the way from the Bahamas
qlZM3McwO1Q,Ohhhhh i love❤❤❤❤❤ my country!!!!!
qlZM3McwO1Q,I'm American but I was rooting for Kenya. 🤗🤗🤗
qlZM3McwO1Q,Amazing.
qlZM3McwO1Q,Kenya all the way 👏
qlZM3McwO1Q,I think the race got real exciting 14:25 after watching a little bit. Number two does look smooth.
qlZM3McwO1Q,"Not sure why anyone thought! If Kenyans are running, anyone else has a chance to win!"
qlZM3McwO1Q,Fast women slow men
qlZM3McwO1Q,Overlapping a fellow human in a relay on a global stage is most underrated thing I've ever seen.
qlZM3McwO1Q,"For God's sake, why did you show the second placed Americans instead of the WORLD RECORD BREAKING KENYAN WOMEN at the end of the race?! Racist coverage?"
qlZM3McwO1Q,If you're in any race against Faith kipyegon forget number 1 ❤🎉
qlZM3McwO1Q,Smoked lol 😊
qlZM3McwO1Q,"THE WAY WOMEN'S V@G!A=S ARE FIRCIBLY EXPOSED IN BALLET, GYMNASTICS, VOLLEYBALL AND TRACK SPORTS IS BEYOND REVOLTING."
qlZM3McwO1Q,Peperusha bendera nanii kenya 🇰🇪 to the world penda sana nchi yngu   ata kama tunachanga moto bdo n nchi yangu❤❤❤
qlZM3McwO1Q,How did Kenyans convince the  others to participate in this race 😮
qlZM3McwO1Q,Congratulations  Kenyan
qlZM3McwO1Q,Congratulations  Kenya
qlZM3McwO1Q,Faith is a beast!
qlZM3McwO1Q,Proud of ma mother land Kenya 🇰🇪
qlZM3McwO1Q,Kenia❤❤❤❤
qlZM3McwO1Q,🇰🇪🇰🇪🇰🇪💕💕
qlZM3McwO1Q,Congratulation Kenya's ❤❤
qlZM3McwO1Q,"Linda mi gente negra, mujeres hermosas, son más fuertes q' esas ""blanquitas"". Toda África es un encanto!"
qlZM3McwO1Q,Black power.concuqer the world
qlZM3McwO1Q,I can't stop watching this
qlZM3McwO1Q,Why Faith looks young 😮😮 maybe it's recorded
qlZM3McwO1Q,Proud of Africa🙌🏾
qlZM3McwO1Q,God bless Kenya my mother land. Congratulations
qlZM3McwO1Q,"Africa has it all ! From natural mineral , flora & fauna. To our human  strength , mentally & physically. Praise be to God!"
qlZM3McwO1Q,"Why didn't you show all 4 of the 1ST. PLACE FAST KENYAN WOMEN RUNNERS????? That country should have had their picture planted all over YouTube for running such a ""super-fast"" record-breaking race! CONGRATS..TO THE KENYAN RUNNERS for breaking fastest relay running! ❤❤❤❤❤❤❤❤❤🎉❤🎉❤🎉❤"
qlZM3McwO1Q,🎉❤
qlZM3McwO1Q,Original Godesses
qlZM3McwO1Q,Flying eagle
qlZM3McwO1Q,"Whatsoever Africa as a whole, #Ibrahim Traoe, miss Kadaffi, if you now you now."
qlZM3McwO1Q,thanks Kenya Queens 🎉🎉🎉🎉🎉
